number_of_components 835
Node_name	sat_assign.	component_no.
NFKB2	0	69
NFRKB	1	453
NFYB	1	454
NFYC	1	455
NHP2L1	1	456
NIPSNAP3A	1	361
NKIRAS2	1	1
NKRF	0	15
NME7	1	1
NOLC1	1	457
NONO	1	458
NOP10	1	47
NOP14	1	1
NOP56	1	459
NPEPPS	1	460
NPLOC4	1	461
NPM1	1	15
NPM3	1	462
NR1D1	1	1
NR1I2	1	463
NR2E3	0	231
NR2F2	1	15
NR2F6	0	4
NR4A1	1	4
NRAS	1	464
NRIP1	1	168
NSF	1	465
NSFL1C	1	466
NSMAF	1	467
NUDC	1	468
NUDT21	0	160
NUDT3	1	469
NUP205	1	470
NUP214	1	471
NUP62CL	1	472
NXF1	1	473
OGT	1	472
OLA1	1	1
OPTN	1	474
OS9	1	475
OSBPL8	1	476
OTUD5	1	302
P4HA1	1	477
PAAF1	1	478
PACSIN2	0	15
PACSIN3	1	479
PAFAH1B1	1	143
PAICS	1	480
PAK1	0	15
PAK7	1	481
PARD6A	1	482
PARD6B	1	483
PARD6G	1	15
PARP1	1	136
PAWR	1	484
PBRM1	1	485
PCBD1	0	187
PCBD2	1	310
PCBP1	0	31
PCBP2	1	486
PCGF1	1	487
PCGF2	1	488
PCK1	0	161
PCNA	1	489
PCSK5	1	490
PDCD4	1	491
PDCD5	0	215
PDE6D	1	492
PDLIM1	1	493
PDLIM7	1	494
PDPK1	1	495
PDS5A	1	496
PEG10	1	218
PEX19	0	3
PFAS	1	398
PFDN1	1	447
PFDN5	0	266
PFDN6	0	1
PGR	1	497
PHC3	1	498
PHF15	0	338
PHF21A	1	40
PHF8	0	324
PHIP	1	499
PHLDB2	1	500
PHYHIP	1	21
PIAS1	1	501
PIH1D1	1	502
PIK3R1	1	503
PIM1	1	504
PINX1	1	15
PIP	1	505
PITRM1	1	506
PKM2	1	507
PKN2	1	508
PLA2G16	1	509
PLDN	0	107
PLK1	1	510
PLOD2	1	2
PLRG1	1	169
PLSCR1	1	21
PLSCR3	1	511
PLSCR4	1	21
PML	1	512
PMPCB	1	513
PMS2	0	20
PNKP	1	514
PNMA1	1	515
PNO1	1	516
PNPLA2	1	102
POLA2	1	517
POLE3	0	201
POLR2A	1	15
POLR2B	1	518
POLR2C	1	519
POLR2D	1	343
POLR2E	1	520
POLR2F	1	521
POLR2J	0	4
POLR3A	0	1
POLR3D	1	522
POT1	1	2
POU3F2	1	523
PPFIA1	1	524
PPID	1	525
PPIE	1	526
PPIH	1	421
PPM1G	1	527
PPME1	1	528
PPP1CB	1	529
PPP1R12A	1	47
PPP2CB	1	15
PPP2R1A	1	530
PPP2R2C	1	531
PPP2R2D	1	532
PPP4C	0	15
PQBP1	1	21
PRC1	1	533
PRDX4	1	2
PRIM2	1	534
PRKAA2	1	535
PRKAB1	1	536
PRKAG2	1	537
PRKAR1A	1	538
PRKAR2A	1	539
PRKCI	1	540
PRKCZ	1	155
PRKDC	1	541
PRKRA	1	542
PRMT1	1	15
PRMT5	1	543
PRPF19	1	15
PRPF3	1	544
PRPF31	1	545
PRPF4	1	546
PRPF40A	1	15
PRPF8	1	547
PRSS23	1	548
PSD3	0	20
PSMA1	1	549
PSMA2	0	161
PSMA4	1	550
PSMA7	0	79
PSMB1	0	254
PSMB4	1	551
PSMB5	1	552
PSMB7	1	553
PSMB8	1	554
PSMB9	0	554
PSMC1	1	555
PSMC2	1	556
PSMC4	1	557
PSMC5	1	558
PSMC6	1	559
PSMD1	1	560
PSMD10	1	560
PSMD11	1	561
PSMD12	1	562
PSMD13	1	79
PSMD14	1	563
PSMD2	1	564
PSMD3	1	565
PSMD4	1	566
PSMD6	1	567
PSMD7	1	568
PSTPIP1	1	15
PTCD3	0	56
PTK2	0	15
PTP4A1	1	569
PTP4A2	1	570
PTPN14	1	571
PTPN2	1	572
PTPRF	1	573
PTTG1	1	574
PUM2	1	575
PVRL2	1	576
PWP1	1	577
PWP2	0	218
QARS	1	158
QKI	1	418
QPRT	1	1
RAB10	1	578
RAB1A	1	579
RAB22A	0	213
RAB37	1	580
RAB7L1	1	581
RAB8A	1	474
RABAC1	1	11
RABEP1	1	266
RAD21	1	582
RAD23A	0	254
RAD50	1	79
RAD51	0	79
RAD9A	1	583
RAE1	1	584
RAF1	1	585
RAI14	1	586
RALA	1	587
RALY	1	588
RAN	1	589
RAP1A	1	585
RARG	1	4
RARS	1	158
RB1	0	585
RB1CC1	0	179
RBBP4	1	163
RBBP6	1	590
RBBP7	1	591
RBCK1	1	1
RBL2	1	187
RBM25	0	15
RBM28	1	592
RBM39	0	15
RBM42	1	593
RBM6	1	594
RBMX	1	595
RBPMS	1	204
RCC1	1	596
RCL1	1	597
RCOR1	0	15
RECQL5	1	15
RELB	1	598
RFK	1	599
RGL2	1	600
RGS2	0	68
RHOXF2	1	522
RIC8A	0	292
RICTOR	1	601
RIN1	1	602
RIPK1	1	603
RNF10	1	604
RNF130	1	605
RNF166	1	606
RNF167	1	607
RNF185	1	608
RNF2	1	609
RNF219	1	610
RNF38	1	611
RNF5	1	612
RNPS1	1	613
ROBO1	1	614
RPA1	1	615
RPA2	0	164
RPAP1	1	324
RPAP2	1	616
RPL10	1	617
RPL13A	1	618
RPL15	1	1
RPL17	0	469
RPL18	1	47
RPL21	1	15
RPL3	1	619
RPL30	1	620
RPL34	1	621
RPL38	0	421
RPL4	0	161
RPL6	0	40
RPL7	0	15
RPL7A	1	1
RPL7L1	1	47
RPP38	1	1
RPS12	1	40
RPS13	1	15
RPS16	1	622
RPS23	1	137
RPS26	1	15
RPS29	1	623
RPS3A	1	624
RPS4X	1	625
RPS6KA6	1	4
RRP1B	1	15
RTCD1	1	626
RUNX1	0	137
RUNX1T1	1	6
RUVBL1	1	627
RUVBL2	1	502
RXRA	1	628
RXRB	1	629
RYBP	0	488
RYK	1	389
SALL1	1	630
SAP18	1	631
SAP30	1	137
SART3	1	421
SASS6	1	632
SCAND1	1	633
SCFD1	1	634
SCMH1	0	105
SCML1	1	635
SCYL2	1	636
SDHC	1	637
SEC23IP	1	1
SEC31A	1	638
SEC63	1	1
SEPT5	1	639
SERPINH1	1	640
SET	1	31
SETD1A	1	641
SF3A1	1	31
SF3A2	1	642
SF3B1	0	15
SF3B2	1	643
SF3B3	1	644
SF3B5	0	31
SFN	1	645
SH3BP4	1	646
SH3GL3	1	40
SH3KBP1	1	40
SHC1	1	647
SHFM1	1	79
SIN3B	1	648
SIRT1	1	649
SIRT7	1	650
SKP1	1	487
SKP2	1	651
SLC12A3	1	652
SLC25A3	1	653
SLC25A5	0	137
SLC25A6	1	654
SLC2A1	0	288
SMAD3	1	655
SMARCA2	0	543
SMARCA4	0	79
SMARCA5	1	656
SMARCAD1	0	15
SMARCC2	0	485
SMARCD2	1	657
SMC3	1	658
SMC4	0	15
SMC6	0	448
SMCR7	0	11
SMCR7L	0	15
SMEK1	0	15
SMNDC1	1	659
SMTN	1	660
SNAPIN	1	661
SNCA	1	662
SND1	1	663
SNRNP40	1	4
SNRNP70	1	664
SNRPB	1	665
SNRPD1	1	666
SNRPD3	1	15
SNRPE	1	667
SNRPF	1	31
SNUPN	0	1
SNW1	1	4
SNX1	1	668
SNX6	1	504
SOX2	1	669
SP100	1	670
SPAG1	1	671
SPR	1	672
SPRY2	1	673
SPTA1	1	674
SPTBN1	1	675
SPTBN2	1	676
SQSTM1	1	476
SRBD1	0	421
SRC	1	677
SREBF1	1	678
SREBF2	0	475
SRI	1	679
SRP14	1	680
SRPK1	1	681
SRPRB	1	682
SRRM1	1	15
SRRM2	1	224
SSRP1	1	683
SSSCA1	1	15
SSU72	1	79
STAG1	1	496
STAG2	1	684
STAT1	1	685
STAT5A	1	686
STAT6	1	687
STBD1	1	688
STK16	1	689
STK24	0	530
STK3	1	690
STK32C	1	691
STK38	1	47
STRN	1	113
STRN3	1	692
STRN4	1	693
STT3A	1	694
STX12	1	695
STX18	1	696
STX4	1	697
STX8	1	698
STYXL1	1	699
SUMO1	1	700
SUMO2	0	40
SUMO3	1	701
SUPT4H1	0	246
SUV420H2	1	702
SUZ12	1	703
SYDE1	1	704
SYMPK	0	15
SYNE2	1	705
SYNJ2BP	1	706
SYVN1	1	707
TAF1	1	708
TAF10	1	709
TAF12	1	710
TAF13	1	711
TAF1C	0	303
TAF4	1	712
TAF5L	1	713
TAF6L	1	714
TANK	1	350
TARBP2	1	715
TARDBP	1	716
TBC1D17	0	15
TBP	1	717
TBX1	0	2
TCEA2	1	4
TCEAL1	0	15
TCERG1	0	31
TCF25	1	718
TCP1	1	719
TELO2	1	720
TERF2	1	2
TERF2IP	1	2
TFAP2C	1	721
TFDP1	1	187
TFG	1	21
TH1L	1	15
THOC3	1	722
THOC4	1	723
THRA	1	724
THRAP3	0	2
TIFA	1	725
TIPRL	0	15
TK1	1	668
TLK1	1	726
TLN1	1	2
TM4SF1	1	727
TMEM102	0	15
TMEM173	1	728
TMEM214	1	729
TMEM33	1	730
TMF1	0	257
TNFAIP8	0	569
TNFRSF8	1	731
TNIK	1	732
TNNT1	1	733
TNPO1	0	15
TOLLIP	1	218
TOM1L1	1	218
TOP1	1	734
TOP2B	1	40
TOP3B	1	735
TOPORS	0	15
TP53	1	736
TP53BP2	1	737
TP53I3	1	738
TPR	1	739
TRA2A	1	740
TRADD	1	741
TRAF2	1	742
TRAF3IP3	0	15
TRAF4	1	743
TRAF6	1	398
TRAF7	1	744
TRAP1	1	389
TRIM21	1	745
TRIM24	1	746
TRIM25	1	747
TRIM26	1	748
TRIM37	1	749
TRIM43	1	750
TRIM63	1	751
TRIM65	1	752
TRIP10	1	753
TRIP13	1	164
TRIP4	1	238
TRMT1	1	1
TRRAP	1	754
TSC1	1	15
TSC22D4	1	111
TSEN2	1	755
TSG101	1	193
TSR1	1	756
TSR2	1	757
TTC1	1	758
TTC28	1	82
TTF2	1	201
TTN	1	759
TTR	1	760
TTYH3	0	392
TUBA1A	1	761
TUBA1B	1	762
TUBA3C	1	47
TUBB2A	0	11
TUBB3	1	614
TUBGCP4	1	763
TWF2	0	234
TXNL1	1	764
TXNL4A	1	765
U2AF1	1	766
UBA2	1	767
UBA5	1	768
UBASH3B	0	137
UBC	1	1
UBE2B	1	45
UBE2D1	1	23
UBE2D2	1	769
UBE2D4	1	770
UBE2G2	1	771
UBE2I	1	772
UBE2J1	1	773
UBE2J2	1	774
UBE2K	1	775
UBE2L6	1	776
UBE2N	0	607
UBE2R2	0	102
UBE2W	0	23
UBE3C	1	777
UBE4B	1	778
