number_of_components 612
Node_name	sat_assign.	component_no.
TSG101	1	565
TSR1	1	106
TSR2	0	181
TTC1	1	105
TTC28	0	69
TTF2	1	566
TTN	0	17
TTR	0	304
TTYH3	1	567
TUBA1A	1	199
TUBA1B	0	475
TUBA3C	1	568
TUBB2A	1	569
TUBB3	0	479
TUBGCP4	1	570
TWF2	0	37
TXNL1	1	8
TXNL4A	1	8
U2AF1	0	374
UBA2	0	537
UBA5	0	122
UBASH3B	1	571
UBC	0	8
UBE2B	1	572
UBE2D1	1	63
UBE2D2	0	559
UBE2D4	1	477
UBE2G2	0	125
UBE2I	1	7
UBE2J1	1	539
UBE2J2	0	476
UBE2K	1	8
UBE2L6	1	8
UBE2N	1	573
UBE2R2	1	574
UBE2W	1	575
UBE3C	1	8
UBE4B	0	100
UBL4A	1	576
UBL7	0	201
UBQLN1	0	231
UBQLN4	1	577
UBR1	1	578
UBR4	1	579
UBR5	1	580
UBTD1	0	8
UBTF	1	581
UCHL5	1	17
UCP2	1	214
UCP3	0	158
UEVLD	0	383
UGP2	1	38
UHRF1	1	582
UIMC1	1	583
UNC119	1	472
UNC13B	1	584
UNC93B1	0	326
UQCRC1	1	585
USE1	1	70
USHBP1	1	586
USP1	0	221
USP11	1	190
USP12	1	587
USP13	0	17
USP14	1	380
USP2	1	588
USP20	0	410
USP21	1	228
USP22	1	8
USP25	0	311
USP3	0	109
USP33	0	274
USP36	1	589
USP39	0	181
USP4	1	345
USP42	1	25
USP45	1	222
USP46	1	590
USP5	1	17
USP7	1	591
USP9X	1	17
UTP18	1	50
VAMP2	0	536
VAPA	0	410
VAT1	1	29
VAV2	0	544
VCP	1	57
VDAC1	1	383
VDR	1	592
VHL	1	593
VPS4A	1	111
WAPAL	0	35
WAS	1	594
WASF1	1	595
WASH1	1	8
WDHD1	1	596
WDR20	1	587
WDR26	0	461
WDR33	1	597
WDR44	1	147
WDR5	0	8
WDR73	1	8
WDR74	0	8
WDR77	1	598
WDTC1	0	338
WHSC1L1	0	8
WIPF1	0	166
WIPF2	0	147
WIPI2	1	166
WWOX	1	599
XAB2	1	600
XIAP	1	601
XPO6	0	51
XPO7	1	8
XPOT	1	115
XRCC4	1	12
XRCC5	0	17
YBX1	0	8
YIPF3	1	602
YLPM1	0	222
YOD1	1	57
YWHAB	1	214
YWHAE	1	603
YWHAG	1	8
YWHAQ	0	158
YWHAZ	1	158
YY1	1	17
ZAK	1	8
ZBED1	1	604
ZBTB16	1	605
ZBTB9	0	531
ZC3H11A	1	606
ZC3H13	0	333
ZC3H15	1	79
ZFP36L1	0	8
ZFP64	1	607
ZMYM2	0	250
ZMYND8	1	608
ZNF281	1	609
ZNF346	1	610
ZNF407	1	531
ZNF426	0	81
ZNF513	1	611
ZNF638	1	219
ZNRF1	1	612
